Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2016","Syphilis, primary and secondary, Cum 2016, flag","Syphilis, primary and secondary, Cum 2015","Syphilis, primary and secondary, Cum 2015, flag",Location 1,Location 2
ALASKA,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WEST VIRGINIA,2016,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,1,,4,,,-,5,,"WEST VIRGINIA
(38.668501, -80.709421)",
MARYLAND,2016,3,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,8,,19,,,-,9,,"MARYLAND
(39.290443, -76.612333)",
WYOMING,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
IDAHO,2016,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,8,,,-,,-,"IDAHO
(43.680635, -114.364237)",
GEORGIA,2016,3,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,20,,27,,43,,26,,68,,"GEORGIA
(32.836038, -83.631709)",
VIRGINIA,2016,3,,-,0,,2,,,-,,-,,-,3,,22,,1,,2,,2,,6,,31,,16,,7,,"VIRGINIA
(37.542699, -78.45822)",
UTAH,2016,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,5,,,-,3,,"UTAH
(39.359772, -111.584173)",
OKLAHOMA,2016,3,,-,0,,0,,,-,,-,,-,0,,16,,,-,,-,,-,2,,11,,1,,6,,"OKLAHOMA
(35.468494, -97.521264)",
PUERTO RICO,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,37,,,-,9,,"PUERTO RICO
(18.215692, -66.414655)",
FLORIDA,2016,3,,-,0,,1,,,-,,-,,-,0,,5,,,-,2,,2,,39,,55,,22,,102,,"FLORIDA
(28.915325, -81.922409)",
ARKANSAS,2016,3,,-,0,,1,,,-,,-,,-,11,,71,,1,,4,,,-,2,,9,,1,,,-,"ARKANSAS
(34.748745, -92.275105)",
TEXAS,2016,3,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,12,,34,,47,,84,,99,,"TEXAS
(31.827233, -99.423022)",
NEW HAMPSHIRE,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,7,,,-,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TENNESSEE,2016,3,,-,0,,3,,,-,,-,1,,9,,41,,5,,3,,,-,6,,13,,1,,12,,"TENNESSEE
(35.681402, -85.774444)",
MISSISSIPPI,2016,3,,-,0,,1,,,-,,-,,-,1,,8,,,-,1,,,-,3,,9,,,-,4,,"MISSISSIPPI
(32.738663, -89.537312)",
MICHIGAN,2016,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,6,,12,,,-,30,,"MICHIGAN
(44.66399, -84.711206)",
SOUTH DAKOTA,2016,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,7,,"SOUTH DAKOTA
(44.35371, -100.373709)",
PENNSYLVANIA,2016,3,,-,0,,2,,,-,,-,,-,0,,4,,1,,,-,3,,12,,22,,32,,28,,"PENNSYLVANIA
(40.789676, -77.858055)",
HAWAII,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,,-,3,,"HAWAII
(21.30992, -157.858158)",
OREGON,2016,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,2,,6,,10,,10,,16,,"OREGON
(44.567912, -120.156945)",
NEVADA,2016,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,6,,15,,1,,18,,"NEVADA
(39.491833, -117.070159)",
CALIFORNIA,2016,3,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,7,,88,,115,,88,,280,,"CALIFORNIA
(37.640735, -121.002435)",
NORTH CAROLINA,2016,3,,-,0,,1,,,-,,-,,-,4,,67,,,-,4,,,-,22,,43,,3,,64,,"NORTH CAROLINA
(35.47995, -79.180571)",
WASHINGTON,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,8,,13,,11,,17,,"WASHINGTON
(47.517368, -120.467672)",
MASSACHUSETTS,2016,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,7,,15,,1,,15,,"MASSACHUSETTS
(42.268546, -72.085064)",
SOUTH CAROLINA,2016,3,,-,0,,1,,,-,,-,,-,1,,3,,,-,2,,5,,5,,15,,28,,10,,"SOUTH CAROLINA
(34.009286, -81.037094)",
WISCONSIN,2016,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,3,,4,,"WISCONSIN
(44.395526, -89.834513)",
VERMONT,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,"VERMONT
(43.622479, -72.51927)",
DELAWARE,2016,3,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,1,,10,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW JERSEY,2016,3,,-,0,,1,,,-,,-,,-,0,,7,,,-,,-,,-,6,,14,,,-,18,,"NEW JERSEY
(40.104655, -74.386686)",
NEW YORK,2016,3,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,4,,8,,34,,10,,5,,"NEW YORK
(42.826892, -75.544286)",
UNITED STATES,2016,4,1,,1,,10,,1,,3,,2,,50,,214,,25,,45,,99,,444,,537,,692,,1511,,,
NEW ENGLAND,2016,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,1,,12,,25,,2,,35,,,
MID. ATLANTIC,2016,4,,-,0,,2,,,-,,-,,-,2,,11,,2,,1,,16,,54,,84,,105,,154,,,
NEW YORK CITY,2016,4,,-,0,,0,,,-,,-,,-,0,,3,,1,,1,,,-,28,,45,,40,,81,,"NEW YORK CITY
",
E.N. CENTRAL,2016,4,,-,0,,3,,,-,,-,,-,1,,7,,,-,1,,6,,42,,65,,43,,174,,,
W.N. CENTRAL,2016,4,,-,0,,4,,,-,,-,,-,6,,25,,,-,3,,,-,15,,27,,18,,52,,,
S. ATLANTIC,2016,4,,-,0,,5,,,-,1,,1,,9,,80,,3,,17,,30,,112,,153,,164,,374,,,
DIST. OF COL.,2016,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,1,,9,,"DIST. OF COL.
",
E.S. CENTRAL,2016,4,1,,0,,3,,1,,,-,1,,14,,64,,18,,14,,1,,17,,27,,15,,47,,,
W.S. CENTRAL,2016,4,,-,0,,1,,,-,,-,,-,13,,72,,1,,7,,28,,50,,67,,151,,159,,,
MOUNTAIN,2016,4,,-,0,,2,,,-,2,,,-,0,,3,,,-,1,,1,,26,,41,,17,,83,,,
PACIFIC,2016,4,,-,0,,1,,,-,,-,,-,0,,2,,1,,,-,16,,106,,133,,177,,433,,,
AMER. SAMOA,2016,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
DELAWARE,2016,4,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,1,,10,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
OHIO,2016,4,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,2,,9,,21,,13,,48,,"OHIO
(40.056807, -82.405897)",
NEVADA,2016,4,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,6,,15,,4,,25,,"NEVADA
(39.491833, -117.070159)",
MISSISSIPPI,2016,4,,-,0,,1,,,-,,-,,-,1,,8,,1,,1,,,-,3,,9,,,-,9,,"MISSISSIPPI
(32.738663, -89.537312)",
MICHIGAN,2016,4,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,7,,12,,,-,41,,"MICHIGAN
(44.66399, -84.711206)",
SOUTH CAROLINA,2016,4,,-,0,,1,,,-,,-,1,,1,,3,,1,,2,,2,,5,,15,,32,,12,,"SOUTH CAROLINA
(34.009286, -81.037094)",
KANSAS,2016,4,,-,0,,1,,,-,,-,,-,2,,13,,,-,1,,,-,1,,5,,2,,5,,"KANSAS
(38.345528, -98.201847)",
VIRGINIA,2016,4,,-,0,,2,,,-,,-,,-,3,,23,,2,,3,,,-,6,,31,,16,,16,,"VIRGINIA
(37.542699, -78.45822)",
ALABAMA,2016,4,,-,0,,1,,,-,,-,,-,3,,19,,5,,4,,,-,6,,11,,9,,13,,"ALABAMA
(32.839182, -86.631125)",
MARYLAND,2016,4,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,8,,19,,,-,16,,"MARYLAND
(39.290443, -76.612333)",
LOUISIANA,2016,4,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,11,,30,,17,,25,,"LOUISIANA
(31.2931, -92.463284)",
GUAM,2016,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WYOMING,2016,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
NEW HAMPSHIRE,2016,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,7,,,-,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ARIZONA,2016,4,,-,0,,2,,,-,2,,,-,0,,1,,,-,1,,,-,11,,19,,,-,32,,"ARIZONA
(34.869712, -111.760902)",
NORTH CAROLINA,2016,4,,-,0,,1,,,-,,-,,-,3,,67,,,-,9,,,-,23,,44,,10,,74,,"NORTH CAROLINA
(35.47995, -79.180571)",
MINNESOTA,2016,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,11,,,-,14,,"MINNESOTA
(44.943719, -93.094281)",
MAINE,2016,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,5,,,-,,-,"MAINE
(45.252223, -68.986647)",
PENNSYLVANIA,2016,4,,-,0,,2,,,-,,-,,-,0,,4,,1,,,-,7,,13,,22,,43,,37,,"PENNSYLVANIA
(40.789676, -77.858055)",
MASSACHUSETTS,2016,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,7,,15,,1,,22,,"MASSACHUSETTS
(42.268546, -72.085064)",
IDAHO,2016,4,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,8,,,-,,-,"IDAHO
(43.680635, -114.364237)",
NEW YORK,2016,4,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,9,,8,,40,,19,,10,,"NEW YORK
(42.826892, -75.544286)",
WASHINGTON,2016,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,8,,13,,17,,24,,"WASHINGTON
(47.517368, -120.467672)",
NEW JERSEY,2016,4,,-,0,,1,,,-,,-,,-,0,,7,,,-,,-,,-,6,,14,,3,,26,,"NEW JERSEY
(40.104655, -74.386686)",
COLORADO,2016,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,5,,8,,6,,16,,"COLORADO
(38.841772, -106.132562)",
RHODE ISLAND,2016,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MISSOURI,2016,4,,-,0,,1,,,-,,-,,-,4,,18,,,-,2,,,-,6,,13,,13,,15,,"MISSOURI
(38.636168, -92.566292)",
ALASKA,2016,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WEST VIRGINIA,2016,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,4,,,-,6,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEBRASKA,2016,4,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,4,,,-,4,,"NEBRASKA
(41.640503, -99.367122)",
CONNECTICUT,2016,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,1,,7,,,-,6,,"CONNECTICUT
(41.544654, -72.651713)",
TENNESSEE,2016,4,,-,0,,3,,,-,,-,1,,9,,41,,6,,4,,,-,6,,13,,1,,20,,"TENNESSEE
(35.681402, -85.774444)",
TEXAS,2016,4,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,28,,34,,47,,129,,127,,"TEXAS
(31.827233, -99.423022)",
ARKANSAS,2016,4,,-,0,,1,,,-,,-,,-,11,,71,,1,,6,,,-,2,,9,,3,,,-,"ARKANSAS
(34.748745, -92.275105)",
CALIFORNIA,2016,4,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,10,,89,,115,,150,,379,,"CALIFORNIA
(37.640735, -121.002435)",
FLORIDA,2016,4,,-,0,,1,,,-,,-,,-,0,,5,,,-,2,,5,,38,,58,,52,,149,,"FLORIDA
(28.915325, -81.922409)",
NEW MEXICO,2016,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,1,,2,,6,,3,,6,,"NEW MEXICO
(34.520396, -106.244402)",
OREGON,2016,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,6,,10,,10,,26,,"OREGON
(44.567912, -120.156945)",
HAWAII,2016,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,,-,4,,"HAWAII
(21.30992, -157.858158)",
INDIANA,2016,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,2,,6,,15,,14,,10,,"INDIANA
(39.76845, -86.156212)",
PUERTO RICO,2016,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,37,,5,,24,,"PUERTO RICO
(18.215692, -66.414655)",
ILLINOIS,2016,4,,-,0,,3,,,-,,-,,-,0,,6,,,-,,-,,-,18,,36,,8,,68,,"ILLINOIS
(40.477092, -88.993221)",
MONTANA,2016,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,4,,,-,"MONTANA
(47.062617, -109.430168)",
GEORGIA,2016,4,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,23,,27,,43,,53,,92,,"GEORGIA
(32.836038, -83.631709)",
KENTUCKY,2016,4,1,,0,,0,,1,,,-,,-,2,,10,,6,,5,,1,,2,,8,,5,,5,,"KENTUCKY
(37.64591, -84.774043)",
IOWA,2016,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,3,,5,,"IOWA
(42.46942, -93.815856)",
WISCONSIN,2016,4,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,2,,1,,4,,8,,7,,"WISCONSIN
(44.395526, -89.834513)",
OKLAHOMA,2016,4,,-,0,,0,,,-,,-,,-,0,,16,,,-,,-,,-,2,,11,,2,,7,,"OKLAHOMA
(35.468494, -97.521264)",
VERMONT,2016,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,0,,1,,1,,4,,"VERMONT
(43.622479, -72.51927)",
NORTH DAKOTA,2016,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH DAKOTA,2016,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,8,,"SOUTH DAKOTA
(44.35371, -100.373709)",
UTAH,2016,4,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,5,,,-,3,,"UTAH
(39.359772, -111.584173)",
UNITED STATES,2016,5,1,,1,,10,,2,,3,,7,,50,,215,,35,,55,,67,,446,,526,,1018,,2062,,,
NEW ENGLAND,2016,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,12,,25,,2,,46,,,
MID. ATLANTIC,2016,5,,-,0,,2,,,-,,-,,-,2,,11,,2,,2,,13,,56,,86,,174,,215,,,
NEW YORK CITY,2016,5,,-,0,,0,,,-,,-,,-,0,,3,,1,,1,,3,,28,,45,,93,,116,,"NEW YORK CITY
",
E.N. CENTRAL,2016,5,,-,0,,3,,,-,,-,,-,1,,8,,,-,1,,3,,43,,65,,58,,238,,,
W.N. CENTRAL,2016,5,,-,0,,4,,,-,,-,,-,6,,25,,,-,3,,3,,15,,27,,51,,65,,,
S. ATLANTIC,2016,5,1,,0,,5,,1,,1,,2,,10,,80,,7,,18,,32,,114,,146,,266,,599,,,
DIST. OF COL.,2016,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,1,,14,,"DIST. OF COL.
",
WISCONSIN,2016,5,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,8,,10,,"WISCONSIN
(44.395526, -89.834513)",
E.S. CENTRAL,2016,5,,-,0,,3,,1,,,-,3,,14,,65,,22,,17,,3,,17,,27,,24,,69,,,
W.S. CENTRAL,2016,5,,-,0,,1,,,-,,-,2,,13,,72,,3,,11,,1,,50,,68,,164,,198,,,
MOUNTAIN,2016,5,,-,0,,2,,,-,2,,,-,0,,3,,,-,2,,,-,26,,41,,23,,101,,,
PACIFIC,2016,5,,-,0,,1,,,-,,-,,-,0,,2,,1,,,-,12,,107,,132,,256,,531,,,
AMER. SAMOA,2016,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
PENNSYLVANIA,2016,5,,-,0,,2,,,-,,-,,-,0,,4,,1,,,-,1,,13,,23,,51,,52,,"PENNSYLVANIA
(40.789676, -77.858055)",
UTAH,2016,5,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,5,,,-,3,,"UTAH
(39.359772, -111.584173)",
FLORIDA,2016,5,,-,0,,1,,,-,,-,,-,0,,5,,,-,3,,5,,37,,58,,103,,182,,"FLORIDA
(28.915325, -81.922409)",
MISSOURI,2016,5,,-,0,,1,,,-,,-,,-,4,,18,,,-,2,,,-,6,,13,,13,,24,,"MISSOURI
(38.636168, -92.566292)",
NORTH DAKOTA,2016,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
KANSAS,2016,5,,-,0,,1,,,-,,-,,-,2,,13,,,-,1,,,-,1,,5,,4,,6,,"KANSAS
(38.345528, -98.201847)",
NEVADA,2016,5,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,5,,15,,4,,27,,"NEVADA
(39.491833, -117.070159)",
NORTH CAROLINA,2016,5,,-,0,,1,,,-,,-,,-,3,,67,,,-,9,,,-,22,,44,,21,,96,,"NORTH CAROLINA
(35.47995, -79.180571)",
VIRGINIA,2016,5,,-,0,,2,,,-,,-,,-,3,,23,,4,,3,,15,,6,,31,,31,,23,,"VIRGINIA
(37.542699, -78.45822)",
MARYLAND,2016,5,1,,0,,0,,1,,,-,1,,0,,4,,1,,,-,,-,8,,19,,,-,26,,"MARYLAND
(39.290443, -76.612333)",
ARIZONA,2016,5,,-,0,,2,,,-,2,,,-,0,,1,,,-,1,,,-,11,,19,,,-,45,,"ARIZONA
(34.869712, -111.760902)",
OREGON,2016,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,6,,12,,10,,28,,"OREGON
(44.567912, -120.156945)",
IOWA,2016,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,4,,5,,"IOWA
(42.46942, -93.815856)",
NEBRASKA,2016,5,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,1,,0,,4,,2,,6,,"NEBRASKA
(41.640503, -99.367122)",
NEW JERSEY,2016,5,,-,0,,1,,,-,,-,,-,0,,7,,,-,,-,,-,5,,14,,3,,32,,"NEW JERSEY
(40.104655, -74.386686)",
SOUTH DAKOTA,2016,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,8,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MISSISSIPPI,2016,5,,-,0,,1,,,-,,-,,-,1,,8,,1,,1,,,-,3,,9,,,-,14,,"MISSISSIPPI
(32.738663, -89.537312)",
CALIFORNIA,2016,5,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,12,,89,,115,,226,,463,,"CALIFORNIA
(37.640735, -121.002435)",
CONNECTICUT,2016,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,1,,7,,,-,6,,"CONNECTICUT
(41.544654, -72.651713)",
OHIO,2016,5,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,10,,21,,13,,69,,"OHIO
(40.056807, -82.405897)",
KENTUCKY,2016,5,,-,0,,1,,1,,,-,2,,2,,10,,8,,7,,3,,2,,8,,9,,7,,"KENTUCKY
(37.64591, -84.774043)",
MASSACHUSETTS,2016,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,7,,15,,1,,33,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW HAMPSHIRE,2016,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,7,,,-,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
GEORGIA,2016,5,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,4,,27,,51,,70,,234,,"GEORGIA
(32.836038, -83.631709)",
NEW MEXICO,2016,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,2,,6,,4,,8,,"NEW MEXICO
(34.520396, -106.244402)",
TENNESSEE,2016,5,,-,0,,3,,,-,,-,,-,9,,42,,7,,4,,,-,5,,13,,6,,27,,"TENNESSEE
(35.681402, -85.774444)",
TEXAS,2016,5,,-,0,,1,,,-,,-,,-,1,,5,,,-,1,,,-,34,,47,,129,,154,,"TEXAS
(31.827233, -99.423022)",
ALASKA,2016,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
PUERTO RICO,2016,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,37,,18,,32,,"PUERTO RICO
(18.215692, -66.414655)",
IDAHO,2016,5,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,8,,,-,,-,"IDAHO
(43.680635, -114.364237)",
WASHINGTON,2016,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,13,,17,,35,,"WASHINGTON
(47.517368, -120.467672)",
DELAWARE,2016,5,,-,0,,0,,,-,,-,1,,0,,3,,1,,,-,,-,1,,10,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
SOUTH CAROLINA,2016,5,,-,0,,1,,,-,,-,,-,1,,3,,1,,2,,8,,5,,15,,40,,17,,"SOUTH CAROLINA
(34.009286, -81.037094)",
GUAM,2016,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WEST VIRGINIA,2016,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,1,,4,,,-,7,,"WEST VIRGINIA
(38.668501, -80.709421)",
MINNESOTA,2016,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,5,,11,,28,,15,,"MINNESOTA
(44.943719, -93.094281)",
RHODE ISLAND,2016,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
HAWAII,2016,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,3,,5,,"HAWAII
(21.30992, -157.858158)",
OKLAHOMA,2016,5,,-,0,,0,,,-,,-,,-,0,,16,,,-,,-,,-,2,,11,,3,,10,,"OKLAHOMA
(35.468494, -97.521264)",
ARKANSAS,2016,5,,-,0,,1,,,-,,-,2,,11,,71,,3,,9,,1,,2,,9,,4,,,-,"ARKANSAS
(34.748745, -92.275105)",
LOUISIANA,2016,5,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,11,,30,,28,,34,,"LOUISIANA
(31.2931, -92.463284)",
ILLINOIS,2016,5,,-,0,,3,,,-,,-,,-,0,,6,,,-,,-,,-,18,,36,,9,,87,,"ILLINOIS
(40.477092, -88.993221)",
MICHIGAN,2016,5,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,6,,12,,3,,52,,"MICHIGAN
(44.66399, -84.711206)",
MAINE,2016,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,5,,,-,,-,"MAINE
(45.252223, -68.986647)",
WYOMING,2016,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
INDIANA,2016,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,3,,6,,15,,25,,20,,"INDIANA
(39.76845, -86.156212)",
ALABAMA,2016,5,,-,0,,1,,,-,,-,1,,3,,19,,6,,5,,,-,6,,11,,9,,21,,"ALABAMA
(32.839182, -86.631125)",
MONTANA,2016,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,4,,,-,"MONTANA
(47.062617, -109.430168)",
NEW YORK,2016,5,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,9,,8,,42,,27,,15,,"NEW YORK
(42.826892, -75.544286)",
VERMONT,2016,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,1,,4,,"VERMONT
(43.622479, -72.51927)",
COLORADO,2016,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,5,,9,,11,,17,,"COLORADO
(38.841772, -106.132562)",
