Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag","Salmonellosis, Cum 2013","Salmonellosis, Cum 2013, flag","Shiga toxin-producing E. coli (STEC)†, Current week","Shiga toxin-producing E. coli (STEC)†, Current week, flag","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)†, Cum 2014","Shiga toxin-producing E. coli (STEC)†, Cum 2014, flag","Shiga toxin-producing E. coli (STEC)†, Cum 2013","Shiga toxin-producing E. coli (STEC)†, Cum 2013, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2014","Shigellosis, Cum 2014, flag","Shigellosis, Cum 2013","Shigellosis, Cum 2013, flag",Location 1,Location 2
SOUTH DAKOTA,2014,10,,-,3,,10,,14,,25,,,-,0,,5,,2,,4,,5,,1,,30,,158,,2,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
WASHINGTON,2014,10,,-,10,,73,,31,,50,,,-,3,,46,,5,,12,,,-,1,,12,,14,,10,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
HAWAII,2014,10,4,,7,,13,,48,,35,,,-,0,,2,,2,,9,,,-,0,,2,,4,,19,,"HAWAII
(21.30485166200043, -157.85774691599974)",
OHIO,2014,10,10,,23,,42,,154,,122,,2,,4,,15,,16,,21,,10,,9,,23,,88,,288,,"OHIO
(40.06021029700048, -82.40425685299965)",
UNITED STATES,2014,11,256,,933,,1580,,4600,,5440,,37,,120,,287,,441,,643,,154,,235,,628,,2120,,1537,,,
NEW ENGLAND,2014,11,1,,39,,78,,211,,209,,,-,4,,13,,16,,27,,,-,4,,94,,39,,31,,,
MID. ATLANTIC,2014,11,39,,97,,197,,413,,579,,8,,13,,36,,47,,75,,14,,15,,32,,128,,177,,,
E.N. CENTRAL,2014,11,12,,101,,171,,417,,721,,3,,15,,46,,43,,118,,5,,21,,39,,138,,400,,,
W.N. CENTRAL,2014,11,10,,46,,93,,205,,307,,2,,10,,38,,33,,72,,4,,9,,74,,281,,43,,,
S. ATLANTIC,2014,11,92,,242,,446,,1625,,1437,,6,,11,,20,,74,,85,,70,,53,,161,,732,,251,,,
E.S. CENTRAL,2014,11,19,,58,,148,,342,,329,,1,,5,,18,,23,,38,,15,,22,,66,,253,,102,,,
W.S. CENTRAL,2014,11,40,,126,,538,,441,,566,,13,,14,,39,,121,,61,,27,,50,,410,,289,,288,,,
MOUNTAIN,2014,11,4,,56,,279,,257,,328,,,-,10,,66,,25,,58,,4,,13,,41,,76,,65,,,
PACIFIC,2014,11,39,,118,,220,,689,,964,,4,,20,,95,,59,,109,,15,,22,,49,,184,,180,,,
DELAWARE,2014,11,,-,2,,8,,8,,11,,,-,0,,2,,,-,,-,,-,0,,2,,7,,2,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
SOUTH DAKOTA,2014,11,1,,3,,10,,18,,27,,,-,0,,5,,2,,5,,1,,1,,30,,175,,2,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
NEW YORK CITY,2014,11,14,,20,,52,,150,,152,,3,,1,,8,,10,,16,,8,,6,,14,,52,,68,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
WYOMING,2014,11,,-,1,,4,,2,,6,,,-,0,,7,,,-,,-,,-,0,,2,,2,,1,,"WYOMING
(43.23554147100049, -108.10982744299969)",
HAWAII,2014,11,3,,7,,13,,51,,38,,,-,0,,2,,3,,10,,,-,0,,2,,4,,19,,"HAWAII
(21.30485166200043, -157.85774691599974)",
NEBRASKA,2014,11,,-,5,,20,,16,,31,,,-,1,,7,,6,,6,,,-,1,,4,,3,,11,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
TENNESSEE,2014,11,1,,15,,36,,84,,83,,1,,2,,6,,9,,12,,8,,10,,50,,157,,17,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
VIRGINIA,2014,11,12,,19,,41,,113,,75,,1,,2,,7,,7,,7,,3,,2,,8,,21,,12,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
WEST VIRGINIA,2014,11,,-,3,,9,,13,,21,,,-,0,,3,,1,,7,,,-,0,,2,,,-,1,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
COLORADO,2014,11,,-,12,,35,,67,,61,,,-,3,,11,,2,,20,,,-,1,,12,,11,,7,,"COLORADO
(38.84384047000049, -106.13360888799969)",
KANSAS,2014,11,,-,7,,18,,34,,45,,,-,1,,6,,4,,10,,,-,1,,4,,7,,6,,"KANSAS
(38.34774033400049, -98.20077655499966)",
IDAHO,2014,11,2,,2,,9,,17,,12,,,-,2,,6,,8,,8,,,-,0,,3,,3,,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
FLORIDA,2014,11,46,,105,,226,,731,,662,,4,,3,,7,,35,,19,,48,,22,,53,,340,,80,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
INDIANA,2014,11,,-,14,,27,,24,,83,,,-,2,,7,,2,,19,,,-,2,,8,,8,,9,,"INDIANA
(39.76691364600049, -86.14995579899966)",
CONNECTICUT,2014,11,,-,7,,21,,44,,53,,,-,1,,7,,5,,7,,,-,1,,5,,7,,7,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
LOUISIANA,2014,11,,-,19,,43,,72,,127,,,-,0,,2,,1,,3,,,-,5,,21,,28,,32,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
NEW YORK,2014,11,17,,25,,72,,142,,116,,4,,4,,10,,17,,19,,6,,4,,26,,47,,67,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
OHIO,2014,11,10,,23,,42,,164,,135,,2,,3,,15,,18,,22,,5,,9,,23,,93,,305,,"OHIO
(40.06021029700048, -82.40425685299965)",
ARIZONA,2014,11,1,,19,,35,,78,,119,,,-,2,,44,,4,,13,,4,,7,,29,,41,,35,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
NORTH DAKOTA,2014,11,,-,2,,7,,13,,16,,,-,0,,3,,2,,3,,,-,0,,2,,5,,3,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
MASSACHUSETTS,2014,11,,-,21,,56,,103,,103,,,-,2,,8,,7,,12,,,-,3,,11,,26,,20,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
CALIFORNIA,2014,11,28,,85,,174,,537,,813,,2,,13,,39,,40,,74,,5,,18,,49,,145,,137,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
MONTANA,2014,11,1,,2,,9,,19,,14,,,-,1,,5,,2,,2,,,-,1,,10,,3,,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
WISCONSIN,2014,11,,-,13,,29,,16,,116,,,-,2,,13,,1,,31,,,-,0,,3,,9,,11,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
GEORGIA,2014,11,,-,34,,102,,195,,214,,,-,2,,10,,12,,18,,,-,16,,36,,127,,91,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
NORTH CAROLINA,2014,11,20,,38,,136,,328,,203,,,-,1,,8,,9,,19,,17,,3,,119,,191,,24,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
ILLINOIS,2014,11,,-,31,,65,,127,,238,,,-,4,,32,,13,,25,,,-,5,,16,,16,,33,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
ALABAMA,2014,11,4,,18,,79,,118,,103,,,-,0,,3,,3,,11,,2,,5,,14,,53,,39,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
WASHINGTON,2014,11,7,,10,,82,,48,,63,,1,,3,,80,,8,,13,,10,,1,,17,,25,,11,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
ARKANSAS,2014,11,2,,13,,35,,39,,46,,2,,2,,6,,15,,5,,11,,5,,22,,57,,20,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
MARYLAND,2014,11,6,,16,,37,,123,,128,,1,,1,,8,,9,,12,,2,,2,,6,,30,,16,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
NEW JERSEY,2014,11,,-,18,,46,,11,,130,,,-,2,,8,,5,,16,,,-,2,,7,,18,,20,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
NEW HAMPSHIRE,2014,11,,-,4,,11,,21,,18,,,-,0,,2,,2,,4,,,-,0,,1,,2,,2,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
PENNSYLVANIA,2014,11,8,,28,,64,,110,,181,,1,,5,,17,,15,,24,,,-,2,,9,,11,,22,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
VERMONT,2014,11,,-,1,,6,,17,,12,,,-,0,,3,,2,,2,,,-,0,,1,,,-,2,,"VERMONT
(43.62538292400046, -72.51763944499965)",
KENTUCKY,2014,11,2,,9,,21,,65,,68,,,-,2,,9,,10,,9,,,-,1,,6,,10,,14,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
MICHIGAN,2014,11,2,,17,,42,,86,,149,,1,,3,,14,,9,,21,,,-,3,,8,,12,,42,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
MISSOURI,2014,11,8,,18,,38,,74,,113,,2,,4,,18,,14,,33,,1,,2,,9,,24,,8,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
SOUTH CAROLINA,2014,11,8,,20,,52,,112,,113,,,-,0,,1,,1,,2,,,-,3,,6,,16,,21,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
NEW MEXICO,2014,11,,-,6,,14,,25,,44,,,-,0,,3,,5,,,-,,-,1,,5,,3,,7,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
ALASKA,2014,11,,-,2,,6,,15,,4,,,-,0,,0,,,-,,-,,-,0,,1,,2,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
TEXAS,2014,11,38,,73,,522,,276,,334,,11,,10,,35,,101,,49,,16,,32,,383,,195,,200,,"TEXAS
(31.827243635000457, -99.4267664729997)",
RHODE ISLAND,2014,11,,-,2,,13,,13,,9,,,-,0,,2,,,-,,-,,-,0,,86,,2,,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
NEVADA,2014,11,,-,4,,205,,12,,36,,,-,1,,8,,2,,6,,,-,0,,7,,5,,11,,"NEVADA
(39.49324126500045, -117.07183978499972)",
OREGON,2014,11,1,,6,,25,,38,,46,,1,,3,,14,,8,,12,,,-,1,,4,,8,,13,,"OREGON
(44.567446178000466, -120.15502977999972)",
MAINE,2014,11,1,,2,,11,,13,,14,,,-,0,,4,,,-,2,,,-,0,,1,,2,,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
DIST. OF COL.,2014,11,,-,0,,3,,2,,10,,,-,0,,1,,,-,1,,,-,0,,2,,,-,4,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
OKLAHOMA,2014,11,,-,12,,49,,54,,59,,,-,1,,10,,4,,4,,,-,2,,13,,9,,36,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
MINNESOTA,2014,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
MISSISSIPPI,2014,11,12,,13,,41,,75,,75,,,-,0,,4,,1,,6,,5,,4,,13,,33,,32,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
UTAH,2014,11,,-,6,,14,,37,,36,,,-,1,,9,,2,,9,,,-,0,,2,,8,,4,,"UTAH
(39.36070374600047, -111.5871285339997)",
AMER. SAMOA,2014,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
IOWA,2014,11,1,,10,,36,,50,,75,,,-,2,,14,,5,,15,,2,,3,,43,,67,,13,,"IOWA
(42.469404401000475, -93.81648936699969)",
UNITED STATES,2014,12,209,,935,,1587,,4994,,6065,,27,,118,,288,,477,,690,,114,,241,,628,,2290,,1701,,,
NEW ENGLAND,2014,12,7,,39,,78,,236,,235,,,-,4,,13,,18,,33,,,-,4,,94,,46,,34,,,
MID. ATLANTIC,2014,12,20,,97,,197,,445,,653,,2,,13,,36,,51,,81,,6,,15,,32,,134,,189,,,
E.N. CENTRAL,2014,12,13,,101,,171,,468,,789,,4,,15,,50,,48,,123,,8,,21,,39,,153,,423,,,
W.N. CENTRAL,2014,12,,-,46,,93,,211,,340,,,-,11,,38,,34,,74,,,-,9,,74,,284,,47,,,
S. ATLANTIC,2014,12,81,,242,,447,,1722,,1577,,,-,11,,20,,79,,91,,59,,53,,161,,792,,282,,,
E.S. CENTRAL,2014,12,8,,58,,148,,365,,351,,3,,5,,18,,29,,43,,20,,22,,66,,278,,114,,,
W.S. CENTRAL,2014,12,18,,127,,540,,479,,685,,14,,15,,39,,142,,69,,14,,55,,410,,317,,354,,,
MOUNTAIN,2014,12,15,,56,,279,,295,,380,,,-,11,,67,,26,,63,,3,,13,,41,,84,,68,,,
PACIFIC,2014,12,47,,118,,220,,773,,1055,,4,,18,,88,,50,,113,,4,,22,,49,,202,,190,,,
NEW HAMPSHIRE,2014,12,,-,4,,11,,23,,18,,,-,0,,2,,2,,6,,,-,0,,1,,2,,2,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
DIST. OF COL.,2014,12,,-,0,,3,,2,,11,,,-,0,,1,,,-,1,,,-,0,,2,,,-,4,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
MASSACHUSETTS,2014,12,2,,21,,56,,115,,125,,,-,2,,8,,7,,13,,,-,3,,11,,32,,23,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
IDAHO,2014,12,4,,2,,9,,21,,14,,,-,2,,6,,8,,9,,,-,0,,3,,3,,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
OKLAHOMA,2014,12,,-,12,,49,,54,,70,,,-,1,,10,,4,,4,,,-,2,,13,,9,,39,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
MICHIGAN,2014,12,4,,17,,42,,96,,169,,,-,3,,14,,10,,22,,,-,3,,8,,14,,44,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
COLORADO,2014,12,,-,12,,35,,67,,77,,,-,3,,11,,2,,23,,,-,1,,12,,11,,8,,"COLORADO
(38.84384047000049, -106.13360888799969)",
ARIZONA,2014,12,5,,19,,35,,86,,132,,,-,3,,44,,4,,13,,3,,7,,29,,47,,35,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
NEW JERSEY,2014,12,,-,18,,46,,20,,142,,,-,2,,8,,6,,18,,,-,2,,7,,18,,24,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
TEXAS,2014,12,10,,78,,524,,294,,423,,13,,12,,35,,121,,57,,5,,35,,383,,205,,258,,"TEXAS
(31.827243635000457, -99.4267664729997)",
ALABAMA,2014,12,6,,18,,79,,135,,112,,,-,0,,3,,3,,14,,,-,5,,14,,53,,43,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
RHODE ISLAND,2014,12,1,,2,,13,,14,,9,,,-,0,,2,,,-,,-,,-,0,,86,,2,,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
MONTANA,2014,12,2,,2,,9,,21,,14,,,-,1,,5,,2,,3,,,-,1,,10,,3,,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
NORTH CAROLINA,2014,12,7,,38,,136,,335,,241,,,-,1,,6,,9,,20,,5,,3,,119,,197,,33,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
WYOMING,2014,12,,-,1,,4,,2,,6,,,-,0,,7,,,-,,-,,-,0,,2,,2,,1,,"WYOMING
(43.23554147100049, -108.10982744299969)",
MISSISSIPPI,2014,12,,-,13,,41,,76,,79,,,-,0,,4,,2,,6,,,-,4,,13,,34,,32,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
PUERTO RICO,2014,12,,-,6,,43,,19,,91,,,-,0,,6,,2,,,-,,-,0,,1,,,-,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
KENTUCKY,2014,12,,-,9,,21,,65,,71,,,-,2,,9,,10,,9,,,-,1,,6,,10,,18,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
NORTH DAKOTA,2014,12,,-,2,,7,,13,,16,,,-,0,,3,,2,,3,,,-,0,,2,,5,,3,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
NEVADA,2014,12,,-,4,,205,,12,,41,,,-,1,,8,,2,,6,,,-,0,,7,,5,,11,,"NEVADA
(39.49324126500045, -117.07183978499972)",
GEORGIA,2014,12,,-,34,,102,,195,,230,,,-,2,,10,,12,,21,,,-,16,,36,,127,,100,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
VIRGINIA,2014,12,3,,19,,41,,117,,91,,,-,2,,7,,8,,8,,3,,2,,8,,24,,17,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
DELAWARE,2014,12,,-,2,,8,,13,,11,,,-,0,,2,,,-,,-,,-,0,,2,,7,,2,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
INDIANA,2014,12,,-,14,,27,,38,,90,,,-,2,,7,,3,,18,,,-,2,,8,,13,,11,,"INDIANA
(39.76691364600049, -86.14995579899966)",
ALASKA,2014,12,,-,2,,6,,15,,9,,,-,0,,0,,,-,,-,,-,0,,1,,2,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
KANSAS,2014,12,,-,7,,18,,34,,50,,,-,1,,6,,4,,11,,,-,0,,4,,7,,6,,"KANSAS
(38.34774033400049, -98.20077655499966)",
FLORIDA,2014,12,63,,105,,226,,794,,718,,,-,3,,7,,36,,20,,50,,22,,53,,390,,86,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
NEBRASKA,2014,12,,-,5,,20,,16,,36,,,-,1,,7,,6,,6,,,-,1,,4,,3,,12,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
SOUTH CAROLINA,2014,12,1,,20,,52,,115,,117,,,-,0,,1,,2,,2,,1,,2,,6,,17,,21,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
ARKANSAS,2014,12,4,,13,,35,,43,,50,,1,,2,,6,,16,,5,,8,,5,,22,,65,,23,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
NEW YORK CITY,2014,12,,-,20,,52,,150,,164,,,-,1,,8,,10,,17,,,-,6,,14,,52,,73,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
AMER. SAMOA,2014,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
WASHINGTON,2014,12,17,,10,,83,,61,,68,,3,,3,,80,,9,,15,,1,,1,,17,,25,,11,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
CONNECTICUT,2014,12,,-,7,,21,,49,,55,,,-,1,,7,,5,,7,,,-,1,,5,,7,,7,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
HAWAII,2014,12,1,,7,,13,,54,,41,,,-,0,,2,,2,,12,,,-,0,,2,,4,,20,,"HAWAII
(21.30485166200043, -157.85774691599974)",
ILLINOIS,2014,12,,-,31,,65,,144,,260,,,-,4,,32,,13,,26,,,-,6,,16,,16,,38,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
WISCONSIN,2014,12,,-,15,,30,,17,,127,,,-,2,,13,,,-,34,,2,,0,,3,,11,,12,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
VERMONT,2014,12,1,,1,,6,,19,,12,,,-,0,,3,,4,,5,,,-,0,,1,,1,,2,,"VERMONT
(43.62538292400046, -72.51763944499965)",
MARYLAND,2014,12,7,,16,,37,,132,,134,,,-,1,,8,,9,,12,,,-,2,,6,,30,,18,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
UTAH,2014,12,3,,6,,14,,52,,48,,,-,1,,9,,3,,9,,,-,0,,2,,8,,6,,"UTAH
(39.36070374600047, -111.5871285339997)",
LOUISIANA,2014,12,4,,19,,43,,88,,142,,,-,0,,2,,1,,3,,1,,5,,21,,38,,34,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
OHIO,2014,12,9,,23,,42,,173,,143,,4,,3,,15,,22,,23,,6,,8,,23,,99,,318,,"OHIO
(40.06021029700048, -82.40425685299965)",
NEW MEXICO,2014,12,1,,6,,14,,34,,48,,,-,0,,3,,5,,,-,,-,1,,5,,5,,7,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
CALIFORNIA,2014,12,25,,85,,174,,596,,885,,,-,10,,36,,30,,70,,2,,18,,49,,161,,146,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
PENNSYLVANIA,2014,12,6,,28,,64,,119,,208,,,-,5,,17,,16,,25,,1,,2,,9,,12,,22,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
SOUTH DAKOTA,2014,12,,-,3,,10,,20,,29,,,-,0,,5,,3,,5,,,-,1,,30,,177,,2,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
WEST VIRGINIA,2014,12,,-,3,,9,,19,,24,,,-,0,,3,,3,,7,,,-,0,,2,,,-,1,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
MINNESOTA,2014,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
OREGON,2014,12,4,,6,,25,,47,,52,,1,,3,,14,,9,,16,,1,,1,,4,,10,,13,,"OREGON
(44.567446178000466, -120.15502977999972)",
MISSOURI,2014,12,,-,18,,38,,74,,124,,,-,4,,18,,14,,33,,,-,2,,9,,24,,11,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
NEW YORK,2014,12,14,,25,,72,,156,,139,,2,,4,,10,,19,,21,,5,,4,,26,,52,,70,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
TENNESSEE,2014,12,2,,15,,36,,89,,89,,3,,2,,6,,14,,14,,20,,11,,50,,181,,21,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
MAINE,2014,12,3,,2,,11,,16,,16,,,-,0,,4,,,-,2,,,-,0,,1,,2,,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
C.N.M.I.,2014,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
IOWA,2014,12,,-,9,,36,,54,,85,,,-,2,,14,,5,,16,,,-,3,,43,,68,,13,,"IOWA
(42.469404401000475, -93.81648936699969)",
UNITED STATES,2014,13,264,,934,,1588,,5515,,6658,,30,,120,,288,,532,,780,,122,,243,,635,,2524,,1821,,,
NEW ENGLAND,2014,13,6,,39,,78,,257,,273,,1,,4,,13,,19,,35,,3,,5,,94,,58,,38,,,
MID. ATLANTIC,2014,13,29,,97,,197,,499,,705,,4,,13,,36,,55,,90,,8,,15,,32,,150,,210,,,
E.N. CENTRAL,2014,13,21,,101,,171,,516,,869,,,-,17,,50,,52,,144,,6,,21,,39,,163,,449,,,
W.N. CENTRAL,2014,13,5,,46,,93,,223,,380,,3,,11,,38,,39,,82,,2,,11,,74,,327,,49,,,
S. ATLANTIC,2014,13,95,,242,,448,,1848,,1706,,6,,11,,20,,86,,101,,60,,54,,161,,864,,298,,,
E.S. CENTRAL,2014,13,15,,58,,148,,410,,386,,1,,5,,18,,30,,48,,15,,22,,66,,300,,127,,,
W.S. CENTRAL,2014,13,41,,129,,548,,566,,765,,11,,16,,43,,156,,86,,18,,56,,415,,355,,380,,,
MOUNTAIN,2014,13,5,,56,,279,,335,,438,,,-,11,,68,,32,,70,,2,,13,,41,,92,,73,,,
PACIFIC,2014,13,47,,118,,220,,861,,1136,,4,,18,,90,,63,,124,,8,,23,,49,,215,,197,,,
VIRGIN ISL.,2014,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
CONNECTICUT,2014,13,,-,7,,21,,49,,63,,,-,1,,7,,5,,8,,,-,1,,5,,7,,8,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
MASSACHUSETTS,2014,13,5,,20,,56,,132,,150,,,-,2,,8,,7,,13,,3,,3,,11,,40,,25,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
FLORIDA,2014,13,53,,105,,226,,847,,782,,4,,3,,7,,39,,24,,51,,23,,53,,441,,87,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
NEW MEXICO,2014,13,,-,7,,16,,36,,59,,,-,0,,3,,5,,,-,,-,1,,5,,6,,7,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
HAWAII,2014,13,,-,7,,13,,56,,46,,,-,0,,2,,2,,12,,,-,0,,2,,4,,20,,"HAWAII
(21.30485166200043, -157.85774691599974)",
WISCONSIN,2014,13,,-,15,,41,,20,,141,,,-,3,,13,,2,,41,,,-,0,,3,,12,,12,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
AMER. SAMOA,2014,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
SOUTH CAROLINA,2014,13,1,,20,,52,,126,,122,,,-,0,,1,,2,,2,,,-,3,,6,,19,,23,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
MAINE,2014,13,,-,2,,11,,16,,16,,1,,0,,4,,1,,2,,,-,0,,1,,2,,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
OHIO,2014,13,20,,23,,42,,193,,156,,,-,4,,15,,22,,25,,6,,8,,23,,105,,332,,"OHIO
(40.06021029700048, -82.40425685299965)",
LOUISIANA,2014,13,,-,19,,43,,88,,152,,,-,0,,2,,1,,3,,,-,5,,21,,38,,41,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
SOUTH DAKOTA,2014,13,,-,3,,10,,24,,33,,,-,0,,5,,4,,5,,,-,1,,30,,209,,2,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
VERMONT,2014,13,,-,1,,6,,20,,12,,,-,0,,2,,4,,5,,,-,0,,1,,1,,2,,"VERMONT
(43.62538292400046, -72.51763944499965)",
ALASKA,2014,13,,-,1,,6,,16,,12,,,-,0,,0,,,-,,-,,-,0,,1,,2,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
MISSOURI,2014,13,5,,18,,38,,80,,134,,3,,4,,18,,17,,37,,2,,2,,9,,26,,11,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
NORTH CAROLINA,2014,13,21,,35,,136,,356,,258,,1,,0,,6,,10,,20,,5,,3,,119,,202,,34,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
IOWA,2014,13,,-,9,,36,,56,,96,,,-,2,,14,,5,,17,,,-,4,,43,,77,,13,,"IOWA
(42.469404401000475, -93.81648936699969)",
NEW YORK,2014,13,12,,25,,72,,168,,155,,1,,4,,10,,19,,25,,3,,4,,26,,55,,84,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
